Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; ; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 49/20; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; ; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 47/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; ; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-17 20:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; ; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 49/20; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; ; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 47/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; ; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-18 00:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; ; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 49/20; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; ; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 47/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; ; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-18 04:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-18 08:15:31 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-18 12:15:07 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-18 16:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-18 20:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-19 00:15:09 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-19 04:15:11 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-19 08:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-19 12:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-19 16:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 23/10; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-19 20:15:07 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-20 00:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; ; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; ; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; ; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-20 04:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-20 08:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-20 12:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 11/10; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-20 16:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-20 20:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-21 00:15:07 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 12/5; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-21 04:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 49/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-21 08:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 49/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-21 12:15:08 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 49/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-21 16:15:06 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 49/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-21 20:15:09 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 49/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-22 00:15:10 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 49/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-22 04:15:10 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 49/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-22 08:15:10 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 21/20; 11/10; 11/10; 23/20; 6/5; 21/20; 23/20; 11/10; 11/10; 1; 1; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 21/20; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 5/2; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 23/10; ; 
Benfica; 5/2; 5/2; 49/20; 5/2; 5/2; 21/10; 5/2; 11/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 12/5; 13/5; 27/11; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
