META; english/league-2/carlisle-v-morecambe; 2017-01-08 00:22:50 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-08 04:21:35 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-08 08:21:42 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-08 12:22:22 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-08 16:22:33 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/15; 4/7; ; ; ; ; 11/20; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; 57/100; ; ; ; ; ; ; 
Draw; 16/5; 14/5; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; 10/3; ; ; ; ; ; ; 
Morecambe; 19/4; 9/2; ; ; ; ; 5; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; 53/10; ; ; ; ; ; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-08 20:22:38 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 11/20; 4/7; 4/7; ; ; ; 8/13; ; 4/7; 8/13; 4/7; ; 4/7; ; ; 4/7; 8/15; ; ; ; 8/15; 57/100; ; ; ; ; ; ; 
Draw; 16/5; 14/5; 29/10; ; ; ; 16/5; ; 3; 3; 29/10; ; 16/5; ; ; 10/3; 31/10; ; ; ; 31/10; 10/3; ; ; ; ; ; ; 
Morecambe; 9/2; 9/2; 17/4; ; ; ; 21/5; ; 9/2; 17/4; 21/5; ; 17/4; ; ; 9/2; 22/5; ; ; ; 22/5; 53/10; ; ; ; ; ; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-09 00:21:33 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/7; 8/13; ; 4/6; ; 4/6; ; 8/13; 13/20; 8/13; ; 8/13; ; ; 4/6; 11/17; ; ; ; 11/17; 59/100; ; ; ; ; 4/7; ; 
Draw; 3; 14/5; 14/5; ; 3; ; 16/5; ; 3; 3; 14/5; ; 3; ; ; 3; 11/4; ; ; ; 11/4; 67/20; ; ; ; ; 14/5; ; 
Morecambe; 4; 9/2; 19/5; ; 9/2; ; 15/4; ; 17/4; 15/4; 19/5; ; 4; ; ; 4; 77/19; ; ; ; 77/19; 5; ; ; ; ; 4; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-09 04:21:17 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/7; 8/13; 8/13; 4/6; ; 4/6; ; 8/13; 13/20; 8/13; ; 8/13; ; ; 8/13; 11/18; 7/11; ; 4/7; 8/13; 59/100; ; 7/11; ; ; 4/6; ; 
Draw; 3; 14/5; 14/5; 3; 3; ; 3; ; 3; 3; 14/5; ; 3; ; ; 3; 37/13; 56/19; ; 14/5; 11/4; 67/20; ; 56/19; ; ; 14/5; ; 
Morecambe; 4; 9/2; 19/5; 4; 9/2; ; 4; ; 17/4; 15/4; 19/5; ; 4; ; ; 9/2; 17/4; 4; ; 4; 41/10; 5; ; 4; ; ; 4; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-09 08:21:26 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/7; 8/13; 8/13; 4/6; ; 4/6; ; 8/13; 13/20; 8/13; ; 8/13; ; ; 8/13; 11/18; 7/11; ; 4/7; 8/13; 59/100; ; 7/11; ; ; 4/6; ; 
Draw; 3; 14/5; 14/5; 3; 3; ; 3; ; 3; 3; 14/5; ; 3; ; ; 3; 37/13; 56/19; ; 14/5; 14/5; 67/20; ; 56/19; ; ; 14/5; ; 
Morecambe; 4; 9/2; 19/5; 4; 9/2; ; 4; ; 17/4; 15/4; 19/5; ; 4; ; ; 9/2; 21/5; 4; ; 4; 4; 5; ; 4; ; ; 4; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-09 12:21:47 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/6; 13/20; 4/6; 7/10; 3/5; 7/10; 4/7; 4/6; 4/6; 4/6; ; 13/20; ; 7/10; 4/6; 11/18; 7/11; 8/13; 4/7; 8/13; 16/25; 4/7; 7/11; ; ; 4/6; ; 
Draw; 3; 3; 14/5; 14/5; 3; 11/4; 3; 11/4; 3; 3; 14/5; ; 3; ; 14/5; 3; 29/10; 56/19; 3; 14/5; 14/5; 16/5; 3; 56/19; ; ; 11/5; ; 
Morecambe; 4; 19/5; 15/4; 4; 4; 15/4; 15/4; 19/5; 19/5; 15/4; 18/5; ; 15/4; ; 15/4; 4; 54/13; 4; 4; 4; 4; 9/2; 7/2; 4; ; ; 14/5; ; 
META; english/league-2/carlisle-v-morecambe; 2017-01-09 16:22:21 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/6; 8/13; 4/6; 7/10; 8/13; 7/10; 4/7; 4/6; 4/6; 8/13; 8/15; 13/20; ; 7/10; 4/6; 10/17; 7/11; 8/13; 4/7; 8/13; 67/100; 8/13; 7/11; 8/13; ; 4/6; 4/7; 
Draw; 3; 3; 14/5; 14/5; 3; 14/5; 3; 11/4; 3; 3; 14/5; 3; 3; ; 3; 3; 3; 56/19; 3; 14/5; 56/19; 16/5; 14/5; 56/19; 14/5; ; 14/5; 12/5; 
Morecambe; 4; 19/5; 15/4; 15/4; 4; 18/5; 15/4; 19/5; 19/5; 15/4; 15/4; 7/2; 15/4; ; 7/2; 4; 77/19; 4; 4; 4; 39/10; 43/10; 7/2; 4; 4; ; 7/2; 7/2; 
META; english/league-2/carlisle-v-morecambe; 2017-01-09 20:22:06 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/6; 8/13; 4/6; 4/6; 8/13; 7/10; 4/7; 4/6; 4/6; 8/13; 8/15; 13/20; 13/20; 7/10; 4/6; 10/17; 8/13; 4/7; 8/13; 67/100; 8/13; 7/11; 8/13; ; 4/6; 4/7; 
Carlisle; 8/13; 4/7; 6/10; 8/13; 8/13; 4/7; 8/13; 8/13; 4/7; 8/13; 4/7; 4/6; 8/13; 8/13; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 33/50; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 10/3; 3; 7/2; 16/5; 10/3; 16/5; 10/3; 14/5; 10/3; 10/3; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 69/20; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 17/4; 19/5; 4; 9/2; 37/10; 4; 18/5; 17/4; 4; 17/4; 4; 4; 9/2; 15/4; 4; 21/5; 4; 4; 4; 4; 4; 4; 4; ; 4; 4; 21/5
META; english/league-2/carlisle-v-morecambe; 2017-01-13 16:22:23 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/7; 6/10; 8/13; 8/13; 4/7; 8/13; 8/13; 4/7; 8/13; 4/7; 4/6; 8/13; 8/13; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 33/50; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 10/3; 3; 7/2; 16/5; 10/3; 16/5; 10/3; 14/5; 10/3; 10/3; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 69/20; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 17/4; 19/5; 4; 9/2; 37/10; 4; 18/5; 17/4; 4; 17/4; 4; 4; 9/2; 15/4; 4; 21/5; 4; 4; 4; 4; 4; 4; 4; ; 4; 4; 21/5
META; english/league-2/carlisle-v-morecambe; 2017-01-13 17:46:54 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/7; 6/10; 8/13; 8/13; 4/7; 8/13; 8/13; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 33/50; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 10/3; 3; 7/2; 16/5; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 69/20; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 17/4; 19/5; 4; 9/2; 37/10; 4; 18/5; 17/4; 4; 17/4; 4; 4; 9/2; 15/4; 4; 54/13; 4; 4; 75/19; 4; 4; 4; 4; ; 4; 21/5; 21/5
META; english/league-2/carlisle-v-morecambe; 2017-01-13 18:29:49 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/7; 6/10; 8/13; 8/13; 4/7; 8/13; 8/13; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; ; 33/50; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 10/3; 3; 7/2; 16/5; 10/3; 16/5; 10/3; 14/5; 10/3; 7/2; 10/3; 10/3; 33/10; 31/10; 3; ; 69/20; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 17/4; 19/5; 4; 9/2; 37/10; 4; 18/5; 17/4; 4; 17/4; 4; 4; 4; 15/4; 4; 54/13; 4; 4; ; 4; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-13 19:46:53 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/7; 6/10; 8/13; 8/13; 4/7; 8/13; 8/13; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 33/50; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 7/2; 3; 7/2; 16/5; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 69/20; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 17/4; 19/5; 4; 4; 37/10; 4; 18/5; 17/4; 4; 4; 4; 4; 4; 15/4; 4; 54/13; 4; 4; 75/19; 4; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-13 20:23:10 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/7; 6/10; 8/13; 8/13; 4/7; 8/13; 8/13; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 11/18; 3/5; 4/7; 11/18; 33/50; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 7/2; 3; 7/2; 16/5; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 16/5; 31/10; 3; 16/5; 69/20; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 17/4; 19/5; 4; 4; 37/10; 4; 18/5; 17/4; 4; 4; 4; 4; 4; 15/4; 4; 75/19; 4; 4; 75/19; 4; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-13 21:46:54 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 8/13; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 16/25; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 7/2; 3; 7/2; 16/5; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 7/2; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 4; 37/10; 4; 18/5; 17/4; 4; 4; 4; 4; 4; 15/4; 4; 54/13; 4; 4; 75/19; 41/10; 4; 4; 4; ; 4; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-13 23:46:51 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 8/13; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 31/50; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 16/5; 7/2; 3; 7/2; 16/5; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 18/5; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 4; 37/10; 4; 18/5; 17/4; 4; 4; 4; 4; 4; 15/4; 4; 54/13; 4; 4; 75/19; 21/5; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 00:23:11 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 31/50; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 16/5; 7/2; 3; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 18/5; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 4; 37/10; 4; 18/5; 17/4; 4; 4; 4; 4; 4; 15/4; 4; 54/13; 4; 4; 75/19; 21/5; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 00:46:38 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 31/50; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 16/5; 7/2; 3; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 18/5; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 4; 37/10; 4; 18/5; 17/4; 4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 4; 75/19; 21/5; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 01:46:38 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 16/25; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 16/5; 7/2; 3; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 7/2; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 4; 37/10; 4; 18/5; 17/4; 4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 4; 75/19; 21/5; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 03:46:38 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 16/25; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 7/2; 3; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 7/2; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 4; 37/10; 21/5; 18/5; 17/4; 4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 4; 75/19; 21/5; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 04:21:30 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; ; 8/13; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 16/25; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 7/2; ; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 7/2; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 4; ; 4; 18/5; 17/4; 15/4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 4; 75/19; 21/5; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 05:49:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 16/25; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 7/2; 3; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 7/2; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 9/2; 37/10; 4; 18/5; 17/4; 15/4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 4; 75/19; 21/5; 4; 4; 4; ; 4; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 06:44:28 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 16/25; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 7/2; 3; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 7/2; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 9/2; 37/10; 4; 18/5; 17/4; 15/4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 4; 75/19; 21/5; 4; 4; 4; ; 4; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 07:46:35 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 16/25; 4/7; 10/17; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 7/2; 3; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 7/2; 3; 33/10; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 9/2; 37/10; 4; 18/5; 17/4; 15/4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 4; 75/19; 21/5; 4; 4; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 08:21:29 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 8/13; 6/10; 8/13; 8/13; 4/7; 8/13; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 13/20; 8/13; 8/13; 4/7; 3/5; 4/7; 11/18; 16/25; 4/7; 7/11; 6/10; ; 4/7; 4/7; 8/13
Draw; 7/2; 16/5; 3; 3; 7/2; 3; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 10/3; 33/10; 31/10; 3; 16/5; 7/2; 3; 16/5; 3; ; 3; 3; 10/3
Morecambe; 9/2; 4; 19/5; 4; 9/2; 37/10; 4; 18/5; 17/4; 15/4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 7/2; 75/19; 21/5; 4; 37/10; 4; ; 21/5; 21/5; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 09:46:44 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 4/6; 4/6; 8/13; 8/13; 4/6; 4/7; 13/20; 4/6; 4/7; 8/13; 4/7; 4/6; 8/13; 4/6; 8/13; 4/6; 4/7; 3/5; 4/7; 11/18; 16/25; 4/7; 7/11; 8/13; ; 4/7; 4/7; 4/7
Draw; 10/3; 3; 29/10; 3; 16/5; 3; 7/2; 3; 10/3; 16/5; 10/3; 14/5; 10/3; 17/5; 10/3; 3; 33/10; 31/10; 3; 16/5; 7/2; 3; 16/5; 3; ; 3; 3; 10/3
Morecambe; 17/4; 18/5; 37/10; 4; 4; 37/10; 19/5; 18/5; 17/4; 15/4; 4; 4; 4; 4; 15/4; 4; 54/13; 4; 7/2; 75/19; 21/5; 4; 37/10; 15/4; ; 4; 4; 4
META; english/league-2/carlisle-v-morecambe; 2017-01-14 11:46:56 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 13/20; 4/6; 8/13; 8/13; 4/6; 4/7; 4/6; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 4/6; 8/13; 4/6; 10/17; 3/5; 4/7; 11/18; 16/25; 8/13; 7/11; 8/13; ; 4/7; 4/7; 8/13
Draw; 10/3; 3; 29/10; 16/5; 16/5; 14/5; 10/3; 3; 3; 3; 3; 14/5; 10/3; 17/5; 10/3; 3; 13/4; 31/10; 3; 41/13; 18/5; 3; 16/5; 3; ; 3; 3; 
Morecambe; 17/4; 18/5; 37/10; 15/4; 4; 18/5; 19/5; 18/5; 4; 15/4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 7/2; 39/10; 4; 7/2; 37/10; 4; ; 4; 4; 21/5
META; english/league-2/carlisle-v-morecambe; 2017-01-14 12:23:37 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 13/20; 4/6; 8/13; 8/13; 4/6; 4/7; 4/6; 4/6; 8/13; 8/13; 7/10; 4/6; 8/13; 4/6; 8/13; 4/6; 10/17; 3/5; 4/7; 11/18; 16/25; 8/13; 7/11; 8/13; ; 4/7; 4/7; 8/13
Draw; 10/3; 3; 3; 16/5; 16/5; 14/5; 10/3; 3; 3; 3; 3; 14/5; 10/3; 17/5; 10/3; 3; 13/4; 31/10; 3; 41/13; 18/5; 3; 16/5; 3; ; 3; 3; 10/3
Morecambe; 17/4; 18/5; 37/10; 15/4; 4; 18/5; 19/5; 18/5; 4; 4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 7/2; 39/10; 4; 7/2; 37/10; 4; ; 4; 4; 21/5
META; english/league-2/carlisle-v-morecambe; 2017-01-14 12:52:04 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 13/20; 4/6; 8/13; 8/13; 4/6; 4/7; 4/6; 4/6; 8/13; 8/13; 7/10; 4/6; 8/13; 4/6; 8/13; 4/6; 10/17; 3/5; 4/7; 11/18; 16/25; 8/13; 7/11; 8/13; ; 4/7; 4/7; 8/13
Draw; 10/3; 3; 3; 16/5; 16/5; 14/5; 10/3; 3; 3; 3; 3; 14/5; 10/3; 17/5; 10/3; 3; 13/4; 31/10; 3; 41/13; 18/5; 3; 16/5; 3; ; 3; 3; 10/3
Morecambe; 17/4; 18/5; 37/10; 15/4; 4; 18/5; 19/5; 18/5; 4; 4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 7/2; 39/10; 4; 7/2; 37/10; 4; ; 4; 4; 21/5
META; english/league-2/carlisle-v-morecambe; 2017-01-14 13:47:04 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 13/20; 4/6; 8/13; 8/13; 4/6; 4/7; 4/6; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 4/6; 8/13; 4/6; 10/17; 3/5; 4/7; 11/18; 16/25; 8/13; 11/18; 8/13; ; 4/7; 4/7; 8/13
Draw; 10/3; 16/5; 3; 3; 16/5; 14/5; 10/3; 3; 3; 3; 16/5; 14/5; 10/3; 17/5; 10/3; 3; 13/4; 31/10; 3; 41/13; 18/5; 3; 16/5; 3; ; 3; 3; 3
Morecambe; 17/4; 18/5; 37/10; 4; 4; 18/5; 19/5; 18/5; 4; 4; 4; 4; 4; 4; 15/4; 4; 41/10; 4; 4; 39/10; 4; 7/2; 4; 15/4; ; 21/5; 4; 21/5
META; english/league-2/carlisle-v-morecambe; 2017-01-14 15:47:02 GMT+2; 2017-01-14 15:00; e70300-dr003
Carlisle; 8/13; 4/7; 8/13; 8/13; 4/6; 4/7; 4/6; 4/6; 4/7; 13/20; 4/6; 8/13; 4/7; 13/20; 13/20; 8/13; 10/17; 3/5; 4/7; 8/13; 13/20; 4/6; 11/18; 8/13; ; 4/7; 4/7; 8/13
Draw; 7/2; 10/3; 3; 3; 10/3; 14/5; 7/2; 3; 10/3; 16/5; 10/3; 16/5; 10/3; 7/2; 16/5; 10/3; 13/4; 31/10; 3; 41/13; 7/2; 3; 16/5; 3; ; 3; 3; 10/3
Morecambe; 9/2; 17/4; 37/10; 4; 4; 18/5; 15/4; 18/5; 4; 15/4; 4; 4; 17/4; 4; 7/2; 4; 4; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; ; 21/5; 4; 21/5
META; english/league-2/carlisle-v-morecambe; 2017-01-14 16:22:21 GMT+2; 2017-01-14 15:00; e70300-dr003
