META; english/premier-league/west-brom-v-stoke; 2017-01-22 00:17:21 GMT+2; 2017-02-04 15:00; e70300-dr003
Draw; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
Stoke; 12/5; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 23/10; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-26 20:16:54 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 13/10; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Draw; 11/5; 11/5; 11/5; 21/10; 9/4; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
Stoke; 12/5; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 23/10; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-27 00:16:44 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 13/10; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Draw; 11/5; 11/5; 11/5; 21/10; 9/4; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
Stoke; 12/5; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 23/10; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-27 04:16:42 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 13/10; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Draw; 11/5; 11/5; 11/5; 21/10; 9/4; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
Stoke; 12/5; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 23/10; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-27 08:16:46 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 13/10; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
