META; english/championship/birmingham-v-cardiff; 2017-09-30 22:21:11 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; 
Birmingham; ; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-01 02:21:09 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; ; 11/8; ; ; ; ; ; 6/5; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 5/4; ; ; ; ; 
Birmingham; ; 9/5; ; ; ; ; ; 2; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 2; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 12/5; ; ; ; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-01 10:21:04 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; ; 11/8; ; ; ; ; ; 6/5; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 5/4; ; ; ; ; 
Birmingham; ; 9/5; ; ; ; ; ; 2; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 2; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 12/5; ; ; ; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-01 14:21:15 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 11/8; ; 5/4; ; ; 5/4; 11/10; 6/5; ; 23/20; ; ; ; ; 5/4; ; ; 15/13; ; ; 6/5; ; 6/5; ; ; ; ; 
Birmingham; 12/5; 9/5; ; 11/5; ; ; 23/10; 23/10; 21/10; ; 5/2; ; ; ; ; 9/4; ; ; 9/4; ; ; 21/10; ; 11/5; ; ; ; ; 
Draw; 23/10; 23/10; ; 23/10; ; ; 23/10; 12/5; 5/2; ; 11/5; ; ; ; ; 12/5; ; ; 9/4; ; ; 27/11; ; 23/10; ; ; ; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-01 18:20:41 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 5/4; ; 5/4; 23/20; 23/20; 5/4; 11/10; 6/5; ; 6/5; ; ; ; 5/4; 6/5; 11/10; ; 6/5; ; 7/6; 6/5; ; 6/5; ; ; ; ; 
Birmingham; 12/5; 11/5; ; 11/5; 12/5; 5/2; 23/10; 12/5; 21/10; ; 23/10; ; ; ; 23/10; 12/5; 12/5; ; 9/4; ; 37/19; 21/10; ; 11/5; ; ; ; ; 
Draw; 23/10; 23/10; ; 23/10; 9/4; 12/5; 23/10; 12/5; 5/2; ; 9/4; ; ; ; 23/10; 23/10; 23/10; ; 9/4; ; 23/10; 27/11; ; 11/5; ; ; ; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-01 22:20:31 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 5/4; ; 5/4; 23/20; 23/20; 5/4; 6/5; 6/5; ; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; ; 6/5; ; 7/6; 6/5; ; 6/5; ; ; 5/6; ; 
Birmingham; 12/5; 11/5; ; 11/5; 12/5; 5/2; 23/10; 23/10; 21/10; ; 23/10; 9/4; ; 12/5; 23/10; 12/5; 12/5; ; 9/4; ; 37/19; 21/10; ; 11/5; ; ; 13/8; ; 
Draw; 23/10; 23/10; ; 23/10; 9/4; 12/5; 23/10; 23/10; 5/2; ; 9/4; 23/10; ; 23/10; 23/10; 23/10; 23/10; ; 9/4; ; 23/10; 27/11; ; 11/5; ; ; 17/10; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-02 02:20:24 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 5/4; ; 5/4; 23/20; 23/20; 5/4; 6/5; 6/5; ; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; ; 6/5; ; 7/6; 6/5; ; 6/5; ; ; 1; ; 
Birmingham; 12/5; 11/5; ; 11/5; 12/5; 5/2; 23/10; 23/10; 21/10; ; 23/10; 9/4; ; 12/5; 23/10; 12/5; 12/5; ; 9/4; ; 37/19; 21/10; ; 11/5; ; ; 2; ; 
Draw; 23/10; 23/10; ; 23/10; 9/4; 12/5; 23/10; 23/10; 5/2; ; 9/4; 23/10; ; 23/10; 23/10; 23/10; 23/10; ; 9/4; ; 23/10; 27/11; ; 11/5; ; ; 21/10; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-02 10:20:50 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 5/4; ; 5/4; 23/20; 23/20; 5/4; 6/5; 6/5; ; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; ; 6/5; ; 7/6; 6/5; ; 6/5; ; ; 21/20; ; 
Birmingham; 12/5; 11/5; ; 11/5; 12/5; 5/2; 23/10; 23/10; 21/10; ; 23/10; 9/4; ; 12/5; 23/10; 12/5; 12/5; ; 9/4; ; 37/19; 21/10; ; 11/5; ; ; 2; ; 
Draw; 23/10; 23/10; ; 23/10; 9/4; 12/5; 23/10; 23/10; 5/2; ; 9/4; 23/10; ; 23/10; 23/10; 23/10; 23/10; ; 9/4; ; 23/10; 27/11; ; 11/5; ; ; 21/10; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-02 18:21:06 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 23/20; ; 5/4; 23/20; 23/20; 11/10; 6/5; 6/5; ; 23/20; 6/5; ; 6/5; 6/5; 11/10; 11/10; 15/13; 5/4; 7/6; 6/5; 6/5; 6/5; 23/20; ; 21/20; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; ; 23/10; ; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 11/5; 51/20; 37/19; 9/4; 23/10; 23/10; 9/4; ; 23/10; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-06 10:21:39 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 6/5; 5/4; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; ; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 11/5; 51/20; 37/19; 9/4; 23/10; 23/10; 9/4; ; 1/2; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-06 14:22:11 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 6/5; 5/4; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; ; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 11/5; 51/20; 37/19; 9/4; 23/10; 23/10; 9/4; ; 2; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-06 18:21:57 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 6/5; 33/25; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; ; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 11/5; 12/5; 37/19; 9/4; 23/10; 23/10; 9/4; ; 7/4; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-06 22:22:13 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 6/5; 33/25; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; ; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 11/5; 12/5; 37/19; 9/4; 23/10; 23/10; 9/4; ; 7/4; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-07 02:21:48 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 6/5; 33/25; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; ; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 11/5; 12/5; 37/19; 9/4; 23/10; 23/10; 9/4; ; 9/5; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-07 10:22:08 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 6/5; 33/25; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; ; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 11/5; 12/5; 37/19; 9/4; 23/10; 23/10; 9/4; ; 9/5; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-07 14:22:05 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 6/5; 33/25; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; ; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 11/5; 12/5; 37/19; 9/4; 23/10; 23/10; 9/4; ; 9/5; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-07 18:21:39 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 6/5; 33/25; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; ; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; ; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 11/5; 12/5; 37/19; 9/4; 23/10; 23/10; 9/4; ; 9/5; ; 
META; english/championship/birmingham-v-cardiff; 2017-10-07 22:22:16 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 5/4; 33/25; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; 6/5; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; 19/10; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 9/4; 12/5; 37/19; 9/4; 23/10; 23/10; 9/4; ; 9/5; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-08 02:21:31 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 5/4; 33/25; 7/6; 16/13; 13/10; 5/4; 5/4; ; 20/21; 6/5; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; 19/10; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 9/4; 12/5; 37/19; 9/4; 23/10; 23/10; 9/4; ; 9/5; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-08 10:22:09 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 5/4; 33/25; 22/19; 16/13; 13/10; 5/4; 5/4; ; 20/21; 6/5; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; 19/10; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 9/4; 12/5; 2; 9/4; 23/10; 23/10; 9/4; ; 21/10; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-08 14:22:21 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 5/4; 33/25; 22/19; 16/13; 13/10; 5/4; 5/4; ; 20/21; 6/5; 
Draw; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; 19/10; 
Birmingham; 12/5; 23/10; 9/4; 11/5; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 9/4; 12/5; 2; 9/4; 23/10; 23/10; 9/4; ; 21/10; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-08 18:21:56 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 5/4; 33/25; 22/19; 16/13; 13/10; 6/5; 5/4; ; 20/21; 6/5; 
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; 19/10; 
Birmingham; 12/5; 23/10; 9/4; 9/4; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 9/4; 12/5; 2; 9/4; 23/10; 12/5; 9/4; ; 21/10; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-08 22:21:59 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 11/10; 5/4; 33/25; 22/19; 16/13; 13/10; 5/4; 5/4; ; 4/7; 6/5; 
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 23/10; 21/10; 
Birmingham; 12/5; 23/10; 9/4; 9/4; 12/5; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 12/5; 9/4; 12/5; 2; 9/4; 23/10; 23/10; 9/4; ; 21/10; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-09 02:21:18 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 6/5; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 15/13; 5/4; 33/25; 22/19; 16/13; 13/10; 5/4; 5/4; ; 20/21; 6/5; 
Birmingham; 12/5; 23/10; 9/4; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; ; 12/5; 23/10; 9/4; 23/10; 9/4; 12/5; 2; 9/4; 23/10; 23/10; 9/4; ; 21/10; 2; 
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 12/5; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-09 10:21:30 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 6/5; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; ; 6/5; 5/4; 6/5; 15/13; 5/4; 33/25; 22/19; 16/13; 13/10; 5/4; 5/4; ; 20/21; 23/20; 
Birmingham; 12/5; 23/10; 9/4; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 9/4; 9/4; 47/20; ; 12/5; 23/10; 9/4; 23/10; 9/4; 12/5; 2; 9/4; 23/10; 23/10; 9/4; ; 2; 2; 
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; ; 23/10; 23/10; 11/5; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 23/10; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-09 14:21:33 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff; 23/20; 6/5; 5/4; 5/4; 23/20; 6/5; 5/4; 6/5; 5/4; 6/5; 6/5; 6/5; ; 6/5; 5/4; 5/4; 15/13; 5/4; 33/25; 22/19; 16/13; 13/10; 5/4; 5/4; ; 20/21; 23/20; 
Birmingham; 12/5; 23/10; 9/4; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 9/4; 9/4; 47/20; ; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 2; 9/4; 23/10; 23/10; 9/4; ; 2; 2; 
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; ; 23/10; 23/10; 9/4; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 23/10; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-09 18:22:12 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff ; 23/20; 6/5; 6/5; 5/4; 23/20; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 6/5; 5/4; 5/4; 15/13; 5/4; 33/25; 19/16; 16/13; 13/10; 5/4; 5/4; ; 21/20; 23/20; 
Birmingham; 12/5; 23/10; 23/10; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 23/10; 23/10; 47/20; ; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; ; 11/5; 2; 
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; ; 23/10; 23/10; 9/4; 23/10; 11/5; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 23/10; 2; 
META; english/championship/birmingham-v-cardiff; 2017-10-09 22:21:48 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff ; 23/20; 6/5; 6/5; 5/4; 23/20; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 6/5; 5/4; 5/4; 15/13; 5/4; 33/25; 19/16; 16/13; 13/10; 5/4; 5/4; ; 23/20; 23/20; 13/10
Birmingham; 12/5; 23/10; 23/10; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 23/10; 23/10; 47/20; ; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; ; 9/4; 2; 23/10
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; ; 23/10; 23/10; 9/4; 23/10; 9/4; 119/50; 23/10; 9/4; 23/10; 23/10; 9/4; ; 23/10; 11/5; 23/10
META; english/championship/birmingham-v-cardiff; 2017-10-10 02:21:26 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff ; 23/20; 6/5; 6/5; 5/4; 23/20; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 6/5; 5/4; 5/4; 15/13; 5/4; 33/25; 19/16; 16/13; 13/10; 5/4; 5/4; ; 21/20; 23/20; 13/10
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; ; 23/10; 23/10; 9/4; 23/10; 9/4; 59/25; 23/10; 9/4; 23/10; 23/10; 9/4; ; 23/10; 21/10; 23/10
Birmingham; 12/5; 23/10; 23/10; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 23/10; 23/10; 47/20; ; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 12/5; 9/4; 23/10; 23/10; 9/4; ; 21/10; 2; 12/5
META; english/championship/birmingham-v-cardiff; 2017-10-10 10:21:31 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff ; 23/20; 6/5; 6/5; 5/4; 23/20; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 6/5; 5/4; 5/4; 15/13; 5/4; 13/10; 19/16; 16/13; 13/10; 5/4; ; ; 10/9; ; 13/10
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; ; 23/10; 23/10; 9/4; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 23/10; ; ; 23/10; ; 23/10
Birmingham; 12/5; 23/10; 23/10; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 23/10; 23/10; 47/20; ; 12/5; 23/10; 23/10; 23/10; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; ; ; 21/10; ; 12/5
META; english/championship/birmingham-v-cardiff; 2017-10-10 14:22:03 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff ; 23/20; 6/5; 6/5; 5/4; 23/20; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 6/5; 5/4; 5/4; 15/13; 5/4; 13/10; 19/16; 16/13; 13/10; 5/4; 5/4; ; 23/20; 6/5; 13/10
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 11/5; 9/4; ; 23/10; 23/10; 9/4; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; ; 12/5; 9/4; 23/10
Birmingham; 12/5; 23/10; 23/10; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 23/10; 23/10; 47/20; ; 12/5; 23/10; 23/10; 23/10; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; ; 11/5; 21/10; 12/5
META; english/championship/birmingham-v-cardiff; 2017-10-10 18:21:19 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Cardiff ; 23/20; 6/5; 5/4; 5/4; 23/20; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 6/5; 5/4; 5/4; 15/13; 5/4; 13/10; 24/19; 16/13; 13/10; 5/4; 5/4; ; 5/4; 6/5; 13/10
Draw; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 11/5; 9/4; ; 23/10; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; 9/4; 23/10; 23/10; 9/4; ; 12/5; 11/5; 23/10
