META; english/league-1/port-vale-v-shrewsbury; 2017-03-12 02:20:30 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Port Vale; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-12 06:20:25 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Port Vale; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-12 10:21:10 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Port Vale; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-12 14:20:37 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 3/2; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 27/20; ; 
Port Vale; 8/5; 17/10; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; 13/10; ; 
Draw; 12/5; 9/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-12 18:20:35 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 3/2; ; ; ; ; 8/5; ; 13/8; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 4/5; ; 
Port Vale; 8/5; 17/10; ; ; ; ; 17/10; ; 13/8; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 12/5; 9/4; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 9/5; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-12 22:20:57 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 3/2; ; ; ; ; 8/5; ; 13/8; ; ; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; 4/5; ; 
Port Vale; 8/5; 17/10; ; ; ; ; 17/10; ; 13/8; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 12/5; 9/4; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 9/5; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-13 02:21:36 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 3/2; ; ; ; ; 8/5; ; 13/8; ; ; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; 11/8; ; 
Port Vale; 8/5; 17/10; ; ; ; ; 17/10; ; 13/8; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 5/4; ; 
Draw; 12/5; 9/4; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-13 06:22:53 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 3/2; ; ; 13/8; ; 8/5; 6/4; 13/8; ; 31/20; 6/4; 8/5; 8/5; ; 8/5; 17/11; ; 8/5; 17/11; ; ; 8/5; ; ; 6/4; ; 
Port Vale; 8/5; 17/10; ; ; 17/10; ; 17/10; 8/5; 13/8; ; 31/20; 8/5; 13/8; 13/8; ; 8/5; 17/11; ; 8/5; 17/11; ; ; 8/5; ; ; 6/4; ; 
Draw; 12/5; 9/4; ; ; 12/5; ; 12/5; 5/2; 5/2; ; 23/10; 13/5; 47/20; 12/5; ; 12/5; 40/17; ; 23/10; 40/17; ; ; 40/17; ; ; 21/10; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-13 10:20:08 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 3/2; ; ; 13/8; ; 8/5; 6/4; 13/8; ; 31/20; 6/4; 8/5; 8/5; ; 8/5; 17/11; ; 8/5; 17/11; ; ; 8/5; ; ; 6/4; ; 
Port Vale; 8/5; 17/10; ; ; 13/8; ; 13/8; 8/5; 13/8; ; 31/20; 8/5; 8/5; 8/5; ; 8/5; 17/11; ; 8/5; 17/11; ; ; 8/5; ; ; 6/4; ; 
Draw; 12/5; 9/4; ; ; 5/2; ; 5/2; 5/2; 5/2; ; 23/10; 13/5; 12/5; 12/5; ; 12/5; 12/5; ; 23/10; 12/5; ; ; 40/17; ; ; 11/5; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-13 14:21:50 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Port Vale; 11/8; 17/10; 29/20; ; 6/4; ; 29/20; 6/4; 6/4; 7/5; 11/8; 7/5; 29/20; 7/5; ; 6/4; 16/11; ; 8/5; 16/11; ; ; 8/5; 7/5; ; 7/5; ; 
Shrewsbury; 15/8; 3/2; 37/20; ; 9/5; ; 19/10; 17/10; 9/5; 9/5; 7/4; 9/5; 7/4; 9/5; ; 7/4; 17/10; ; 8/5; 7/4; ; ; 8/5; 15/8; ; 7/4; ; 
Draw; 12/5; 9/4; 47/20; ; 12/5; ; 12/5; 23/10; 5/2; 12/5; 9/4; 5/2; 12/5; 12/5; ; 12/5; 40/17; ; 23/10; 9/4; ; ; 40/17; 9/4; ; 11/5; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-13 18:22:58 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Port Vale; 11/8; 13/8; 29/20; 7/5; 6/4; 11/8; 29/20; 11/8; 6/4; 7/5; 7/5; 6/4; 7/5; 29/20; 6/4; 16/11; 7/5; 23/17; 8/5; 7/5; ; ; 8/5; 7/5; 8/5; ; 7/5; ; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-16 06:19:51 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 7/4; 13/8; 33/20; 9/5; 17/10; 31/20; 8/5; 7/4; 13/8; 13/8; 13/8; 8/5; 33/20; 17/10; 17/10; 7/4; 8/5; 17/10; 6/4; 8/5; 7/4; ; 17/11; 13/8; 17/11; ; 13/8; 8/5; 
Port Vale; 7/4; 13/8; 17/10; 6/4; 7/4; 8/5; 17/10; 6/4; 13/8; 17/10; 13/8; 17/10; 17/10; 9/5; 17/10; 8/5; 7/4; 16/11; 7/4; 7/4; 173/100; ; 7/4; 17/10; 7/4; ; 13/8; 13/8; 
Draw; 12/5; 23/10; 11/5; 9/4; 9/4; 43/20; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 23/10; 21/10; 12/5; 28/13; 12/5; 21/10; 28/13; 119/50; ; 28/13; 21/10; 28/13; ; 23/10; 21/10; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-16 10:20:20 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 7/4; 8/5; 33/20; 8/5; 17/10; 31/20; 8/5; 13/8; 13/8; 13/8; 13/8; 8/5; 33/20; 17/10; 17/10; 8/5; 8/5; 17/10; 6/4; 8/5; 7/4; ; 17/11; 13/8; 17/11; ; 13/8; 8/5; 
Port Vale; 7/4; 17/10; 17/10; 17/10; 7/4; 8/5; 17/10; 13/8; 13/8; 17/10; 13/8; 17/10; 17/10; 9/5; 17/10; 7/4; 7/4; 16/11; 7/4; 7/4; 173/100; ; 7/4; 17/10; 7/4; ; 13/8; 13/8; 
Draw; 12/5; 23/10; 11/5; 23/10; 9/4; 43/20; 12/5; 9/4; 23/10; 11/5; 23/10; 23/10; 23/10; 23/10; 21/10; 23/10; 28/13; 12/5; 21/10; 28/13; 119/50; ; 28/13; 21/10; 28/13; ; 23/10; 21/10; 
META; english/league-1/port-vale-v-shrewsbury; 2017-03-16 14:20:51 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 7/4; 8/5; 33/20; 8/5; 17/10; 31/20; 8/5; 13/8; 13/8; 13/8; 13/8; 13/8; 33/20; 17/10; 17/10; 8/5; 8/5; 17/10; 6/4; 8/5; 7/4; 17/10; 17/11; 13/8; 17/11; ; 13/8; 6/4; 17/10
Port Vale; 7/4; 17/10; 17/10; 17/10; 7/4; 13/8; 17/10; 13/8; 13/8; 17/10; 13/8; 7/4; 17/10; 9/5; 17/10; 7/4; 7/4; 16/11; 7/4; 7/4; 173/100; 33/19; 7/4; 17/10; 7/4; ; 13/8; 13/8; 9/5
Draw; 12/5; 23/10; 11/5; 23/10; 9/4; 21/10; 12/5; 9/4; 23/10; 11/5; 23/10; 21/10; 23/10; 23/10; 21/10; 23/10; 28/13; 12/5; 21/10; 28/13; 119/50; 11/5; 28/13; 21/10; 28/13; ; 23/10; 21/10; 23/10
META; english/league-1/port-vale-v-shrewsbury; 2017-03-16 18:21:20 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 8/5; 6/4; 8/5; 8/5; 29/20; 6/4; 13/8; 6/4; 6/4; 31/20; 31/20; 6/4; 8/5; 6/4; 8/5; 17/11; 6/4; 6/4; 17/11; 13/8; 20/13; 17/11; 8/5; 17/11; ; 6/4; 7/5; 8/5
Port Vale; 19/10; 17/10; 15/8; 17/10; 9/5; 9/5; 19/10; 13/8; 15/8; 19/10; 7/4; 19/10; 15/8; 2; 15/8; 9/5; 24/13; 17/10; 7/4; 24/13; 39/20; 23/12; 7/4; 15/8; 7/4; ; 9/5; 7/4; 19/10
Draw; 12/5; 23/10; 11/5; 23/10; 9/4; 41/20; 12/5; 9/4; 23/10; 21/10; 9/4; 21/10; 23/10; 23/10; 11/5; 12/5; 28/13; 23/10; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; 28/13; ; 23/10; 19/10; 11/5
META; english/league-1/port-vale-v-shrewsbury; 2017-03-16 22:20:16 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 6/4; 31/20; 8/5; 8/5; 29/20; 31/20; 13/8; 6/4; 6/4; 31/20; 6/4; 6/4; 13/8; 6/4; 8/5; 17/11; 6/4; 6/4; 17/11; 13/8; 20/13; 17/11; 8/5; 17/11; ; 6/4; 6/4; 13/8
Port Vale; 19/10; 9/5; 9/5; 17/10; 9/5; 7/4; 9/5; 13/8; 15/8; 9/5; 7/4; 9/5; 15/8; 19/10; 15/8; 9/5; 24/13; 17/10; 7/4; 24/13; 39/20; 23/12; 7/4; 15/8; 7/4; ; 9/5; 7/4; 19/10
Draw; 12/5; 23/10; 11/5; 23/10; 9/4; 41/20; 12/5; 9/4; 23/10; 21/10; 23/10; 23/10; 9/4; 23/10; 11/5; 12/5; 28/13; 23/10; 21/10; 28/13; 9/4; 11/5; 28/13; 21/10; 28/13; ; 11/5; 21/10; 11/5
META; english/league-1/port-vale-v-shrewsbury; 2017-03-17 02:20:50 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 6/4; 13/8; 8/5; 8/5; 29/20; 31/20; 13/8; 6/4; 6/4; 31/20; 31/20; 6/4; 13/8; 6/4; 8/5; 17/11; 6/4; 6/4; 17/11; 13/8; 20/13; 17/11; 8/5; 17/11; ; 6/4; 6/4; 13/8
Port Vale; 19/10; 7/4; 19/10; 17/10; 9/5; 7/4; 9/5; 13/8; 15/8; 9/5; 7/4; 15/8; 15/8; 19/10; 15/8; 9/5; 24/13; 17/10; 7/4; 24/13; 39/20; 23/12; 7/4; 15/8; 7/4; ; 9/5; 7/4; 19/10
Draw; 12/5; 23/10; 23/10; 23/10; 9/4; 41/20; 12/5; 9/4; 23/10; 21/10; 23/10; 21/10; 9/4; 23/10; 11/5; 12/5; 28/13; 23/10; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; 28/13; ; 11/5; 21/10; 11/5
META; english/league-1/port-vale-v-shrewsbury; 2017-03-17 06:19:41 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 6/4; 13/8; 8/5; 8/5; 29/20; 31/20; 13/8; 6/4; 6/4; 31/20; 31/20; 6/4; 13/8; 6/4; 8/5; 17/11; 6/4; 6/4; 17/11; 13/8; 27/17; 17/11; 8/5; 17/11; ; 8/5; 6/4; 8/5
Port Vale; 19/10; 7/4; 19/10; 17/10; 9/5; 7/4; 9/5; 13/8; 15/8; 9/5; 7/4; 9/5; 15/8; 19/10; 15/8; 9/5; 24/13; 17/10; 7/4; 24/13; 39/20; 13/7; 7/4; 15/8; 7/4; ; 9/5; 9/5; 19/10
Draw; 12/5; 23/10; 23/10; 23/10; 9/4; 21/10; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 28/13; 23/10; 11/5; 28/13; 9/4; 11/5; 11/5; 11/5; 11/5; ; 11/5; 11/5; 23/10
META; english/league-1/port-vale-v-shrewsbury; 2017-03-17 10:20:40 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 6/4; 13/8; 8/5; 8/5; 6/4; 31/20; 13/8; 6/4; 6/4; 31/20; 31/20; 31/20; 13/8; 6/4; 8/5; 17/11; 6/4; 6/4; 17/11; 79/50; 27/17; 17/11; 8/5; 17/11; ; 8/5; 6/4; 8/5
Port Vale; 19/10; 9/5; 19/10; 17/10; 9/5; 7/4; 9/5; 13/8; 15/8; 9/5; 7/4; 9/5; 37/20; 19/10; 15/8; 9/5; 9/5; 17/10; 7/4; 9/5; 99/50; 13/7; 7/4; 15/8; 7/4; ; 15/8; 15/8; 19/10
Draw; 12/5; 9/4; 23/10; 23/10; 9/4; 21/10; 12/5; 9/4; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 28/13; 23/10; 11/5; 28/13; 23/10; 11/5; 11/5; 11/5; 11/5; ; 11/5; 11/5; 9/4
META; english/league-1/port-vale-v-shrewsbury; 2017-03-17 14:23:48 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 6/4; 8/5; 8/5; 8/5; 29/20; 31/20; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 13/8; 6/4; 17/11; 6/4; 6/4; 7/5; 6/4; 8/5; 11/7; 31/21; 8/5; 31/21; ; 6/4; 6/4; 6/4
Port Vale; 19/10; 9/5; 39/20; 17/10; 15/8; 7/4; 9/5; 9/5; 15/8; 19/10; 9/5; 15/8; 15/8; 2; 15/8; 15/8; 19/10; 17/10; 19/10; 19/10; 39/20; 24/13; 19/10; 15/8; 19/10; ; 19/10; 19/10; 2
Draw; 12/5; 23/10; 23/10; 23/10; 11/5; 41/20; 12/5; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 23/10; 11/5; 23/10; 28/13; 23/10; 21/10; 28/13; 23/10; 11/5; 28/13; 21/10; 28/13; ; 11/5; 11/5; 9/4
META; english/league-1/port-vale-v-shrewsbury; 2017-03-17 18:23:40 GMT+2; 2017-03-17 19:45; Nothing; Xlenovo
Shrewsbury; 8/5; 6/4; 8/5; 8/5; 8/5; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 8/5; 6/4; 17/11; 6/4; 6/4; 7/5; 6/4; 8/5; 6/4; 31/21; 8/5; 31/21; ; 6/4; 6/4; 6/4
Port Vale; 19/10; 15/8; 2; 17/10; 19/10; 20/11; 19/10; 9/5; 15/8; 19/10; 15/8; 19/10; 15/8; 2; 19/10; 15/8; 19/10; 17/10; 19/10; 19/10; 39/20; 37/19; 19/10; 15/8; 19/10; ; 15/8; 19/10; 2
Draw; 12/5; 9/4; 9/4; 23/10; 11/5; 41/20; 12/5; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 23/10; 11/5; 23/10; 28/13; 23/10; 21/10; 28/13; 23/10; 11/5; 28/13; 21/10; 28/13; ; 9/4; 9/4; 11/5
META; english/league-1/port-vale-v-shrewsbury; 2017-03-17 22:19:59 GMT+2; 2017-03-17 19:45; In Play; Xlenovo
Shrewsbury; 7/4; 7/4; 13/8; 15/8; ; 17/10; 7/4; 9/5; ; 7/4; ; 13/8; 7/4; ; ; ; 17/11; 7/4; ; 17/11; ; ; ; ; ; ; ; 7/4; 7/4
Port Vale; 15/8; 15/8; 39/20; 19/10; ; 9/5; 15/8; 2; ; 19/10; ; 7/4; 19/10; ; ; ; 17/10; 7/4; ; 17/10; ; ; ; ; ; ; ; 9/5; 19/10
Draw; 7/4; 7/4; 9/4; 17/10; ; 7/4; 9/5; 13/8; ; 13/8; ; 7/4; 7/4; ; ; ; 28/13; 28/17; ; 28/13; ; ; ; ; ; ; ; 21/10; 9/5
